Monit_MAP_CODE1,Year,mean_FIN_SQ_FT,median_FIN_SQ_FT,mean_acres,median_acres,mean_EMV_TOTAL,median_EMV_TOTAL,mean_total_tax,median_total_tax
82009900-01,2015,1977.5688073394494,1977.5688073394494,5.096146788990826,5.096146788990826,466534.8623853211,466534.8623853211,0.0,0.0
82013000-01,2004,0.0,0.0,0.8884586108468111,0.8884586108468111,281173.2635585157,281173.2635585157,2312.3568030447195,2312.3568030447195
27011800-03,2010,1331.625,1331.625,0.5991803278688522,0.5991803278688522,247862.9781420765,247862.9781420765,3141.2930327868853,3141.2930327868853
82006200-01,2006,1052.133027522936,1052.133027522936,6.727614678899081,6.727614678899081,335445.871559633,335445.871559633,1647.1743119266055,1647.1743119266055
82007200-01,2015,691.2735849056604,691.2735849056604,5.039952830188687,5.039952830188687,180412.9716981132,180412.9716981132,0.0,0.0
82013700-01,2009,1845.9873551106427,1845.9873551106427,4.124088514225507,4.124088514225507,354530.4531085353,354530.4531085353,210715.70073761855,210715.70073761855
19006500-01,2015,2731.9166666666665,2731.9166666666665,1.5225173611111096,1.5225173611111096,403628.125,403628.125,5303.352430555556,5303.352430555556
70005400-03,2004,1089.5324675324675,1089.5324675324675,7.148961038961035,7.148961038961035,263303.63636363635,263303.63636363635,0.0,0.0
27016000-01,2008,0.0,0.0,1.8353446647780955,1.8353446647780955,474252.3607176582,474252.3607176582,6174.239376770538,6174.239376770538
82001400-01,2011,1774.6007462686566,1774.6007462686566,6.44652985074627,6.44652985074627,365204.85074626864,365204.85074626864,0.0,0.0
19003300-01,2007,4703.389366443807,4703.389366443807,0.6759121298949319,0.6759121298949319,531554.9188156638,531554.9188156638,9759.000955109837,9759.000955109837
10000200-04,2008,0.0,0.0,0.806410256410253,0.806410256410253,539653.3433886375,539653.3433886375,6810.573152337858,6810.573152337858
82000100-04,2011,1181.19226519337,1181.19226519337,0.8106961325966859,0.8106961325966859,266210.27624309395,266210.27624309395,0.0,0.0
02005300-01,2007,1753.5793528505392,1753.5793528505392,2.3490755007704163,2.3490755007704163,242128.27426810478,242128.27426810478,2511.8990755007703,2511.8990755007703
02065400-01,2009,900.8415346907994,900.8415346907994,0.8919607843137434,0.8919607843137434,243604.71342383107,243604.71342383107,3229.031862745098,3229.031862745098
19000600-02,2012,813.9325842696629,813.9325842696629,6.440224719101119,6.440224719101119,136629.96254681647,136629.96254681647,839.7677902621723,839.7677902621723
82008700-01,2012,1189.0904872389792,1189.0904872389792,5.168932714617163,5.168932714617163,292562.18097447796,292562.18097447796,0.0,0.0
19004200-02,2004,1627.0326086956522,1627.0326086956522,3.7399184782608645,3.7399184782608645,272626.0869565217,272626.0869565217,2170.6385869565215,2170.6385869565215
82005202-02,2007,0.0,0.0,0.0,0.0,121041.02564102564,121041.02564102564,0.0,0.0
